MCSID,AACTRY00,AAREGN00
M10001N,2,10
M10002P,2,10
M10007U,2,10
M10008V,1,2
M10011Q,1,3
M10014T,3,11
M10015U,1,9
M10016V,4,12
M10017W,1,6
M10018X,1,8
M10020R,1,8
M10021S,1,1
M10022T,1,5
M10024V,4,12
M10025W,3,11
M10027Y,3,11
M10032V,4,12
M10034X,1,5
M10035Y,2,10
M10036Z,1,8
M10038B,1,2
M10039C,2,10
M10040V,3,11
M10041W,1,1
M10042X,2,10
M10043Y,1,1
M10044Z,4,12
M10046B,1,7
M10052Z,4,12
M10053A,2,10
M10054B,2,10
M10056D,1,7
M10057E,1,5
M10058F,4,12
M10059G,1,4
M10060Z,1,6
M10062B,4,12
M10063C,1,3
M10064D,1,7
M10066F,2,10
M10068H,4,12
M10071C,1,9
M10072D,1,6
M10073E,2,10
M10074F,1,5
M10079L,3,11
M10080D,1,6
M10081E,3,11
M10082F,1,5
M10083G,4,12
M10084H,1,3
M10085J,3,11
M10086K,2,10
M10088M,1,7
M10089N,1,7
M10091G,1,9
M10094K,1,5
M10095L,2,10
M10096M,3,11
M10097N,1,6
M10099Q,3,11
M10100Q,3,11
M10102S,1,7
M10103T,1,2
M10105V,1,8
M10106W,1,9
M10107X,1,8
M10108Y,3,11
M10109Z,1,8
M10110S,1,2
M10113V,4,12
M10114W,2,10
M10115X,1,7
M10116Y,1,9
M10120U,2,10
M10122W,1,5
M10124Y,1,2
M10125Z,1,2
M10126A,3,11
M10127B,1,8
M10128C,1,4
M10129D,2,10
M10131X,1,3
M10132Y,1,7
M10133Z,1,5
M10134A,4,12
M10135B,1,2
M10136C,1,1
M10137D,1,2
M10138E,3,11
M10139F,1,6
M10141Z,1,3
M10142A,1,8
M10143B,2,10
M10146E,4,12
M10149H,1,8
M10151B,1,7
M10153D,4,12
M10154E,3,11
M10155F,1,8
M10156G,3,11
M10157H,2,10
M10158J,4,12
M10161D,1,8
M10162E,3,11
M10164G,1,3
M10166J,1,2
M10167K,3,11
M10168L,1,1
M10171F,4,12
M10172G,1,2
M10173H,1,9
M10174J,1,9
M10175K,2,10
M10176L,3,11
M10177M,1,8
M10180G,1,5
M10181H,1,8
M10183K,3,11
M10184L,4,12
M10185M,1,7
M10188Q,1,4
M10189R,1,3
M10190J,3,11
M10191K,2,10
M10193M,3,11
M10194N,1,7
M10195P,4,12
M10196Q,1,3
M10197R,1,8
M10200T,2,10
M10201U,1,6
M10202V,1,8
M10204X,1,8
M10205Y,3,11
M10206Z,2,10
M10208B,1,9
M10209C,1,9
M10210V,1,6
M10211W,1,7
M10212X,4,12
M10213Y,1,8
M10215A,1,8
M10216B,3,11
M10217C,1,1
M10218D,3,11
M10219E,1,8
M10220X,2,10
M10223A,2,10
M10224B,3,11
M10225C,1,7
M10226D,1,6
M10227E,1,3
M10228F,3,11
M10229G,1,5
M10230Z,4,12
M10231A,1,2
M10232B,1,3
M10233C,1,5
M10237G,1,2
M10238H,1,2
M10239J,1,9
M10240B,2,10
M10242D,1,6
M10243E,1,8
M10244F,2,10
M10245G,1,3
M10246H,4,12
