MCSID,APNUM00,ADDRLG00
M10001N,1,8
M10001N,2,8
M10002P,1,1
M10002P,2,8
M10007U,1,1
M10007U,2,8
M10008V,1,8
M10008V,2,8
M10011Q,1,2
M10011Q,2,2
M10014T,1,1
M10014T,2,1
M10015U,1,1
M10015U,2,1
M10016V,1,1
M10016V,2,1
M10017W,2,-1
M10017W,1,2
M10018X,1,8
M10018X,2,8
M10020R,1,1
M10020R,2,8
M10021S,1,8
M10021S,2,1
M10022T,1,8
M10022T,2,-1
M10024V,1,1
M10024V,2,1
M10025W,1,1
M10025W,2,1
M10027Y,1,8
M10032V,1,1
M10034X,1,1
M10034X,2,8
M10035Y,1,8
M10036Z,1,8
M10036Z,2,8
M10038B,1,8
M10039C,1,8
M10040V,1,8
M10040V,2,1
M10041W,1,1
M10041W,2,8
M10042X,1,8
M10043Y,1,8
M10043Y,2,8
M10044Z,1,1
M10046B,1,5
M10046B,2,-1
M10052Z,1,1
M10053A,1,8
M10053A,2,8
M10054B,1,1
M10054B,2,1
M10056D,1,2
M10057E,1,1
M10057E,2,8
M10058F,1,8
M10058F,2,8
M10059G,1,1
M10059G,2,8
M10060Z,1,1
M10060Z,2,1
M10062B,1,1
M10062B,2,1
M10063C,1,2
M10063C,2,-1
M10064D,1,1
M10066F,1,8
M10066F,2,8
M10068H,1,1
M10068H,2,1
M10071C,1,1
M10071C,2,1
M10072D,1,1
M10072D,2,1
M10073E,1,8
M10073E,2,-1
M10074F,1,1
M10074F,2,1
M10079L,1,1
M10079L,2,1
M10080D,1,8
M10080D,2,8
M10081E,1,8
M10081E,2,8
M10082F,1,1
M10082F,2,1
M10083G,1,1
M10083G,2,1
M10084H,1,8
M10084H,2,8
M10085J,1,8
M10085J,2,-1
M10086K,2,1
M10086K,1,8
M10088M,1,3
M10088M,2,3
M10089N,1,8
M10089N,2,8
M10091G,1,8
M10091G,2,8
M10094K,1,8
M10094K,2,-1
M10095L,1,1
M10095L,2,1
M10096M,1,8
M10096M,2,8
M10097N,1,2
M10097N,2,2
M10099Q,1,1
M10100Q,1,1
M10100Q,2,1
M10102S,1,8
M10102S,2,8
M10103T,1,1
M10105V,1,1
M10105V,2,8
M10106W,1,8
M10107X,1,1
M10107X,4,8
M10108Y,1,1
M10109Z,2,8
M10109Z,1,8
M10110S,1,8
M10110S,2,1
M10113V,1,1
M10113V,2,1
M10114W,1,1
M10114W,2,1
M10115X,1,1
M10115X,2,8
M10116Y,1,1
M10120U,1,2
M10120U,2,2
M10122W,1,2
M10122W,3,-1
M10124Y,1,8
M10124Y,2,-1
M10125Z,1,1
M10125Z,2,1
M10126A,1,1
M10126A,2,8
M10127B,1,8
M10127B,2,8
M10128C,1,8
M10128C,2,-1
M10129D,1,8
M10129D,2,8
M10131X,1,2
M10131X,2,2
M10132Y,1,8
M10132Y,2,8
M10133Z,1,8
M10133Z,2,8
M10134A,1,8
M10134A,2,1
M10135B,1,1
M10135B,2,1
M10136C,1,8
M10136C,4,8
M10137D,1,7
M10137D,2,8
M10138E,1,8
M10138E,2,8
M10139F,1,1
M10139F,2,8
M10141Z,1,1
M10141Z,2,1
M10142A,1,1
M10142A,2,1
M10143B,1,1
M10143B,2,8
M10146E,1,8
M10146E,2,-1
M10149H,1,8
M10151B,1,1
M10151B,2,-1
M10153D,1,1
M10153D,2,-1
M10154E,1,8
M10154E,2,1
M10155F,1,8
M10156G,1,8
M10156G,2,8
M10157H,2,1
M10157H,1,8
M10158J,1,1
M10161D,1,1
M10161D,2,-1
M10162E,1,8
M10162E,2,-1
M10164G,1,8
M10164G,2,8
M10166J,1,1
M10167K,1,8
M10167K,2,8
M10168L,1,8
M10168L,2,8
M10171F,1,1
M10171F,2,1
M10172G,1,8
M10172G,2,1
M10173H,1,8
M10173H,2,8
M10174J,1,1
M10174J,2,1
M10175K,1,8
M10175K,2,1
M10176L,1,1
M10176L,2,-1
M10177M,1,1
M10177M,2,8
M10180G,1,1
M10180G,2,1
M10181H,1,8
M10183K,1,8
M10184L,1,1
M10184L,2,-1
M10185M,1,1
M10185M,2,1
M10188Q,1,1
M10189R,1,2
M10189R,2,2
M10190J,1,8
M10191K,1,8
M10191K,2,8
M10193M,1,1
M10193M,2,8
M10194N,1,8
M10194N,2,8
M10195P,1,1
M10196Q,1,8
M10197R,1,8
M10197R,2,8
M10200T,1,8
M10200T,2,8
M10201U,1,2
M10202V,1,8
M10202V,2,-1
M10204X,1,8
M10204X,2,8
M10205Y,1,8
M10205Y,2,8
M10206Z,1,8
M10206Z,2,8
M10208B,1,1
M10208B,2,1
M10209C,2,8
M10209C,1,8
M10210V,1,8
M10211W,1,4
M10211W,2,4
M10212X,1,1
M10212X,2,1
M10213Y,1,1
M10213Y,2,1
M10215A,1,8
