MCSID,GDGPAR00,GDTOTP00
M10002P,2,4
M10007U,2,5
M10015U,2,6
M10016V,2,6
M10018X,2,5
M10021S,2,3
M10022T,2,6
M10025W,2,4
M10034X,2,7
M10041W,2,0
M10042X,2,3
M10043Y,2,5
M10044Z,2,3
M10046B,2,6
M10054B,2,6
M10056D,2,3
M10057E,2,5
M10060Z,2,5
M10062B,2,7
M10063C,2,6
M10064D,2,5
M10068H,2,5
M10069J,2,7
M10071C,1,6
M10072D,2,6
M10073E,2,5
M10074F,2,5
M10079L,2,4
M10082F,2,3
M10083G,2,4
M10088M,2,5
M10089N,2,5
M10091G,2,5
M10095L,2,5
M10096M,2,4
M10100Q,2,7
M10105V,2,6
M10106W,2,5
M10109Z,2,5
M10113V,2,5
M10114W,1,5
M10115X,1,5
M10116Y,2,4
M10120U,1,8
M10122W,2,5
M10125Z,2,5
M10126A,2,5
M10130W,1,6
M10131X,2,4
M10132Y,2,5
M10134A,2,3
M10139F,2,7
M10143B,2,6
M10144C,2,5
M10146E,2,6
M10149H,2,4
M10153D,2,6
M10154E,2,4
M10157H,2,6
M10161D,2,6
M10164G,2,7
M10172G,2,5
M10173H,2,5
M10174J,2,4
M10175K,2,6
M10176L,2,5
M10177M,2,4
M10180G,2,4
M10181H,2,5
M10183K,2,2
M10185M,2,6
M10189R,2,7
M10191K,2,7
M10193M,2,5
M10194N,2,4
M10195P,2,7
M10197R,1,5
M10205Y,2,5
M10206Z,2,5
M10210V,2,6
M10211W,1,7
M10213Y,2,4
M10215A,2,5
M10217C,2,5
M10220X,2,4
M10223A,1,7
M10224B,2,4
M10225C,2,6
M10226D,2,4
M10229G,2,8
M10234D,1,9
M10239J,2,6
M10244F,2,6
M10247J,2,5
M10249L,2,3
M10250D,2,2
M10252F,2,5
M10254H,2,5
M10258M,2,6
M10262H,2,4
M10263J,2,5
M10264K,2,5
M10266M,2,5
M10270H,2,4
M10273L,2,4
M10278R,2,7
M10279S,2,4
M10282M,2,0
M10285Q,2,4
M10289U,2,6
M10296T,2,2
M10298V,2,5
M10300W,2,4
M10313B,2,6
M10315D,2,5
M10316E,2,4
M10319H,2,4
M10320A,2,6
M10322C,2,5
M10324E,2,6
M10328J,2,4
M10330C,2,4
M10331D,2,5
M10335H,2,5
M10342G,2,5
M10347M,2,9
M10348N,2,5
M10349P,2,7
M10350G,2,5
M10351H,2,5
M10356N,1,5
M10357P,2,7
M10358Q,2,5
M10359R,2,4
M10363M,2,4
M10364N,2,5
M10366Q,2,4
M10367R,2,5
M10372N,2,6
M10374Q,2,5
M10375R,2,6
M10377T,2,5
M10379V,2,3
M10381P,2,4
M10385T,2,5
M10387V,2,6
M10390Q,2,4
M10392S,2,5
M10393T,2,8
M10394U,1,5
M10395V,2,5
M10396W,2,5
M10397X,2,5
M10400Z,2,4
M10401A,2,5
M10404D,2,5
M10405E,2,5
M10406F,2,5
M10407G,2,4
M10411C,2,8
M10418K,2,5
M10421E,2,5
M10423G,2,6
M10426K,2,9
M10427L,2,5
M10428M,2,5
M10431G,2,5
M10432H,1,4
M10434K,2,5
M10437N,2,6
M10448R,2,5
M10449S,2,6
M10451L,2,6
M10453N,2,6
M10455Q,2,4
M10456R,2,6
M10459U,2,5
M10461N,2,7
M10462P,2,3
M10465S,2,4
M10466T,2,5
M10471Q,1,6
M10472R,2,7
M10473S,2,4
M10481S,2,5
M10485W,2,6
M10490T,2,7
M10492V,2,6
M10494X,2,6
M10495Y,2,6
M10499C,2,7
M10503F,2,5
M10506J,2,5
M10508L,2,3
M10514J,2,6
M10515K,2,5
M10516L,2,4
M10517M,2,5
M10519P,2,5
M10521H,2,5
M10524L,2,4
M10529R,2,6
M10536Q,2,6
M10537R,2,3
M10538S,2,6
M10541M,2,5
M10544Q,2,3
M10548U,2,4
M10550N,2,6
M10551P,2,9
M10554S,2,5
M10557V,2,3
M10558W,2,5
M10560Q,2,5
M10561R,2,5
M10567X,2,4
M10568Y,2,5
M10570S,2,5
M10571T,2,3
M10575X,2,4
M10576Y,2,2
M10579B,2,3
M10582W,2,5
M10585Z,2,6
M10588C,2,6
M10595B,2,5
M10596C,2,4
M10597D,2,4
M10598E,2,4
M10603J,2,7
M10605L,2,8
M10610H,2,5
M10611J,2,6
M10612K,2,5
M10613L,2,5
M10614M,1,4
M10615N,2,6
M10616P,2,7
M10617Q,2,5
M10620K,2,4
M10624P,2,4
M10627S,2,5
M10629U,2,4
M10632P,2,5
M10639W,2,7
M10640P,2,4
M10641Q,2,5
M10642R,2,4
M10647W,2,4
M10648X,2,3
M10650R,2,5
M10653U,2,5
M10655W,2,5
