MCSID,GPNUM00,GHCSEX00,GHCAGE00,GACTRY00,GAREGN00,
M10002P,1,-1,-1,2,10,
M10002P,2,-1,-1,2,10,
M10002P,3,-1,-1,2,10,
M10002P,-1,1,17,2,10,
M10007U,-1,1,17,2,10,
M10007U,2,-1,-1,2,10,
M10007U,1,-1,-1,2,10,
M10007U,3,-1,-1,2,10,
M10015U,-1,2,17,1,9,
M10015U,4,-1,-1,1,9,
M10015U,3,-1,-1,1,9,
M10015U,2,-1,-1,1,9,
M10015U,1,-1,-1,1,9,
M10016V,4,-1,-1,4,12,
M10016V,-1,1,17,4,12,
M10016V,1,-1,-1,4,12,
M10016V,2,-1,-1,4,12,
M10016V,3,-1,-1,4,12,
M10018X,-1,2,16,1,8,
M10018X,3,-1,-1,1,8,
M10018X,2,-1,-1,1,8,
M10018X,1,-1,-1,1,8,
M10021S,2,-1,-1,1,1,
M10021S,1,-1,-1,1,1,
M10021S,3,-1,-1,1,1,
M10021S,-1,2,17,1,1,
M10022T,-1,1,16,1,5,
M10022T,1,-1,-1,1,5,
M10022T,2,-1,-1,1,5,
M10022T,5,-1,-1,1,5,
M10022T,4,-1,-1,1,5,
M10022T,3,-1,-1,1,5,
M10025W,1,-1,-1,3,11,
M10025W,2,-1,-1,3,11,
M10025W,3,-1,-1,3,11,
M10025W,-1,1,17,3,11,
M10034X,6,-1,-1,1,5,
M10034X,5,-1,-1,1,5,
M10034X,4,-1,-1,1,5,
M10034X,3,-1,-1,1,5,
M10034X,2,-1,-1,1,5,
M10034X,1,-1,-1,1,5,
M10034X,-1,1,16,1,5,
M10034X,7,-1,-1,1,5,
M10041W,-1,-1,-1,-1,-1,
M10042X,1,-1,-1,2,10,
M10042X,2,-1,-1,2,10,
M10042X,-1,2,16,2,10,
M10042X,3,-1,-1,2,10,
M10042X,4,-1,-1,2,10,
M10043Y,2,-1,-1,1,1,
M10043Y,1,-1,-1,1,1,
M10043Y,3,-1,-1,1,1,
M10043Y,4,-1,-1,1,1,
M10043Y,5,-1,-1,1,1,
M10043Y,6,-1,-1,1,1,
M10043Y,-1,2,16,1,1,
M10044Z,2,-1,-1,4,12,
M10044Z,1,-1,-1,4,12,
M10044Z,-1,2,17,4,12,
M10046B,1,-1,-1,1,7,
M10046B,2,-1,-1,1,7,
M10046B,3,-1,-1,1,7,
M10046B,4,-1,-1,1,7,
M10046B,5,-1,-1,1,7,
M10046B,7,-1,-1,1,7,
M10046B,6,-1,-1,1,7,
M10046B,-1,2,16,1,7,
M10054B,1,-1,-1,2,10,
M10054B,-1,2,17,2,10,
M10054B,4,-1,-1,2,10,
M10054B,3,-1,-1,2,10,
M10054B,2,-1,-1,2,10,
M10056D,-1,2,16,1,7,
M10056D,6,-1,-1,1,7,
M10056D,1,-1,-1,1,7,
M10056D,2,-1,-1,1,7,
M10056D,3,-1,-1,1,7,
M10056D,4,-1,-1,1,7,
M10056D,5,-1,-1,1,7,
M10057E,2,-1,-1,1,5,
M10057E,1,-1,-1,1,5,
M10057E,-1,1,17,1,5,
M10057E,3,-1,-1,1,5,
M10057E,4,-1,-1,1,5,
M10060Z,1,-1,-1,1,6,
M10060Z,2,-1,-1,1,6,
M10060Z,3,-1,-1,1,6,
M10060Z,-1,1,16,1,6,
M10062B,1,-1,-1,4,12,
M10062B,3,-1,-1,4,12,
M10062B,4,-1,-1,4,12,
M10062B,5,-1,-1,4,12,
M10062B,-1,2,17,4,12,
M10062B,2,-1,-1,4,12,
M10063C,13,-1,-1,1,3,
M10063C,14,-1,-1,1,3,
M10063C,11,-1,-1,1,3,
M10063C,4,-1,-1,1,3,
M10063C,12,-1,-1,1,3,
M10063C,3,-1,-1,1,3,
M10063C,1,-1,-1,1,3,
M10063C,5,-1,-1,1,3,
M10063C,6,-1,-1,1,3,
M10063C,-1,2,17,1,3,
M10063C,8,-1,-1,1,3,
M10063C,9,-1,-1,1,3,
M10063C,10,-1,-1,1,3,
M10063C,7,-1,-1,1,3,
M10063C,2,-1,-1,1,3,
M10064D,-1,1,17,1,7,
M10064D,6,-1,-1,1,7,
M10064D,5,-1,-1,1,7,
M10064D,4,-1,-1,1,7,
M10064D,3,-1,-1,1,7,
M10064D,2,-1,-1,1,7,
M10064D,1,-1,-1,1,7,
M10068H,-1,1,17,4,12,
M10068H,1,-1,-1,4,12,
M10068H,3,-1,-1,4,12,
M10068H,2,-1,-1,4,12,
M10068H,4,-1,-1,4,12,
M10069J,-1,2,17,1,7,
M10069J,5,-1,-1,1,7,
M10069J,1,-1,-1,1,7,
M10069J,2,-1,-1,1,7,
M10069J,3,-1,-1,1,7,
M10069J,4,-1,-1,1,7,
M10071C,2,-1,-1,1,9,
M10071C,3,-1,-1,1,9,
M10071C,-1,2,17,1,9,
M10071C,1,-1,-1,1,9,
M10071C,4,-1,-1,1,9,
M10072D,3,-1,-1,1,6,
M10072D,4,-1,-1,1,6,
M10072D,-1,2,16,1,6,
M10072D,1,-1,-1,1,6,
M10072D,2,-1,-1,1,6,
M10073E,4,-1,-1,1,8,
M10073E,5,-1,-1,1,8,
M10073E,-1,2,17,1,8,
M10073E,2,-1,-1,1,8,
M10073E,1,-1,-1,1,8,
M10073E,3,-1,-1,1,8,
M10074F,1,-1,-1,1,5,
M10074F,2,-1,-1,1,5,
M10074F,-1,1,16,1,5,
M10074F,3,-1,-1,1,5,
M10079L,1,-1,-1,3,11,
M10079L,2,-1,-1,3,11,
M10079L,3,-1,-1,3,11,
M10079L,-1,1,17,3,11,
M10082F,2,-1,-1,1,5,
M10082F,1,-1,-1,1,5,
M10082F,-1,1,17,1,5,
M10083G,3,-1,-1,4,12,
M10083G,1,-1,-1,4,12,
M10083G,-1,2,17,4,12,
M10083G,2,-1,-1,4,12,
M10083G,5,-1,-1,4,12,
M10083G,4,-1,-1,4,12,
M10088M,5,-1,-1,1,6,
M10088M,3,-1,-1,1,6,
M10088M,2,-1,-1,1,6,
M10088M,1,-1,-1,1,6,
M10088M,6,-1,-1,1,6,
M10088M,7,-1,-1,1,6,
M10088M,4,-1,-1,1,6,
M10088M,-1,2,17,1,6,
M10089N,-1,2,17,1,6,
