MCSID,GPNUM00,GDEEA00,GDEWA00,GDESA00,GDENA00,GDAGI00,GDGAI00
M10516L,1,-1,-1,-1,-1,47,4
M10516L,4,-1,-1,-1,-1,54,5
M28150P,1,-1,-1,-1,-1,43,4
M28150P,2,-1,-1,-1,-1,53,5
M26490Y,2,-1,-1,-1,-1,33,3
M26490Y,1,-1,-1,-1,-1,37,3
M13264X,1,-1,-1,-1,-1,48,4
M24364K,1,-1,-1,-1,-1,46,4
M24364K,4,-1,-1,-1,-1,42,4
M12242M,1,-1,-1,-1,-1,40,4
M12242M,2,-1,-1,-1,-1,43,4
M30742E,2,-1,-1,-1,-1,52,5
M30742E,1,-1,-1,-1,-1,49,4
M27447Z,2,1,-1,-1,-1,42,4
M27447Z,1,-1,-1,-1,-1,39,3
M19758Q,1,-1,-1,-1,-1,55,5
M19758Q,2,-1,-1,-1,-1,49,4
M27377C,1,-1,-1,-1,-1,51,5
M27377C,2,-1,-1,-1,-1,55,5
M18622V,2,-1,-1,-1,-1,51,5
M18622V,1,-1,-1,-1,-1,51,5
M35515R,1,-1,-1,-1,-1,50,5
M35515R,2,-1,-1,-1,-1,53,5
M15515F,1,-1,-1,-1,-1,50,5
M35003W,4,1,-1,-1,-1,42,4
M35003W,1,-1,-1,-1,-1,40,4
M28878Y,1,-1,-1,-1,-1,53,5
M28878Y,2,-1,-1,-1,-1,52,5
M28089B,1,-1,-1,-1,-1,49,4
M27882Q,2,-1,-1,-1,-1,36,3
M23336B,1,-1,-1,-1,-1,46,4
M31048T,1,-1,-1,-1,-1,36,3
M14890X,1,-1,-1,-1,-1,45,4
M14890X,2,-1,-1,-1,-1,55,5
M23788B,2,-1,-1,-1,-1,45,4
M21638E,1,-1,-1,-1,-1,43,4
M21638E,2,-1,-1,-1,-1,45,4
M22694S,5,-1,-1,-1,-1,44,4
M22694S,1,-1,-1,-1,-1,43,4
M15190E,1,-1,-1,-1,-1,39,3
M30117K,1,-1,-1,-1,-1,43,4
M30117K,2,-1,-1,-1,-1,47,4
M14906N,1,-1,-1,-1,-1,61,5
M15440D,1,-1,-1,-1,-1,47,4
M15440D,2,-1,-1,-1,-1,48,4
M28333U,1,-1,-1,-1,-1,38,3
M26251K,2,-1,-1,-1,-1,58,5
M26251K,1,-1,-1,-1,-1,49,4
M19751H,1,-1,-1,-1,-1,44,4
M11911X,2,-1,-1,-1,-1,40,4
M11911X,1,-1,-1,-1,-1,47,4
M15128Y,2,-1,-1,-1,-1,48,4
M15128Y,1,-1,-1,-1,-1,44,4
M31547H,1,-1,-1,-1,-1,47,4
M15086F,2,-1,-1,-1,-1,48,4
M15086F,1,-1,-1,-1,-1,45,4
M25466U,1,-1,-1,-1,-1,45,4
M16693C,2,-1,-1,-1,-1,52,5
M16693C,1,-1,-1,-1,-1,39,3
M15872Z,1,-1,-1,-1,-1,41,4
M19271W,1,-1,-1,-1,-1,45,4
M19271W,2,-1,-1,-1,-1,47,4
M22053P,1,-1,-1,-1,-1,36,3
M23532D,7,1,-1,-1,-1,48,4
M23532D,2,-1,-1,-1,-1,55,5
M15667W,2,-1,-1,-1,-1,54,5
M15667W,1,-1,-1,-1,-1,48,4
M21777Q,5,-1,-1,-1,-1,54,5
M21777Q,1,-1,-1,-1,-1,46,4
M27113E,4,-1,-1,-1,-1,64,5
M27113E,1,-1,-1,-1,-1,41,4
M22946T,2,-1,-1,-1,-1,52,5
M22946T,1,-1,-1,-1,-1,52,5
M24732P,1,-1,-1,-1,-1,35,3
M26670A,2,-1,-1,-1,-1,53,5
M26670A,1,-1,-1,-1,-1,47,4
M34163H,2,-1,-1,-1,-1,55,5
M34163H,1,-1,-1,-1,-1,54,5
M22910F,1,-1,-1,-1,-1,51,5
M22910F,2,-1,-1,-1,-1,53,5
M24670S,2,-1,-1,-1,-1,55,5
M23171Y,1,-1,-1,-1,-1,50,5
M23171Y,2,-1,-1,-1,-1,48,4
M18962N,1,-1,-1,-1,-1,56,5
M18962N,2,-1,-1,-1,-1,41,4
M28177A,2,-1,-1,-1,-1,46,4
M27164R,2,-1,-1,-1,-1,44,4
M27164R,1,-1,-1,-1,-1,38,3
M19106J,2,-1,-1,-1,-1,47,4
M22086Y,2,-1,-1,-1,-1,54,5
M22086Y,1,-1,-1,-1,-1,57,5
M32990C,3,1,-1,-1,-1,44,4
M32990C,1,-1,-1,-1,-1,50,5
M22963U,10,-1,1,-1,-1,44,4
M22963U,1,-1,-1,-1,-1,42,4
M16756A,2,-1,-1,-1,-1,46,4
M16756A,1,-1,-1,-1,-1,47,4
M23737Q,6,1,-1,-1,-1,44,4
M29974B,1,-1,-1,-1,-1,54,5
M23901J,2,-1,-1,-1,-1,54,5
M23901J,1,-1,-1,-1,-1,52,5
M34512J,1,-1,-1,-1,-1,48,4
M34512J,5,-1,-1,-1,-1,50,5
M33190G,1,-1,-1,-1,-1,43,4
M21804A,2,-1,-1,-1,-1,45,4
M21804A,1,-1,-1,-1,-1,46,4
M33056B,1,-1,-1,-1,-1,52,5
M25828A,1,-1,-1,-1,-1,38,3
M19046P,2,-1,-1,-1,-1,53,5
M19046P,1,-1,-1,-1,-1,52,5
M10851Y,1,-1,-1,-1,-1,47,4
M16424H,2,-1,-1,-1,-1,47,4
M35288Z,5,-1,-1,-1,-1,45,4
M30738J,1,-1,-1,-1,-1,47,4
M14234V,1,-1,-1,-1,-1,40,4
M34663Y,2,-1,-1,-1,-1,55,5
M34663Y,1,-1,-1,-1,-1,47,4
M14074X,1,-1,-1,-1,-1,51,5
M14074X,2,-1,-1,-1,-1,52,5
M12638D,1,-1,-1,-1,-1,57,5
M12638D,2,-1,-1,-1,-1,57,5
M14012H,1,-1,-1,-1,-1,54,5
M14012H,2,-1,-1,-1,-1,50,5
M26136H,2,-1,-1,-1,-1,58,5
M26136H,1,-1,-1,-1,-1,55,5
M17888R,1,-1,-1,-1,-1,51,5
M10773B,2,-1,-1,-1,-1,52,5
M17476Z,1,-1,-1,-1,-1,53,5
M17476Z,2,-1,-1,-1,-1,59,5
M16069J,2,-1,-1,-1,-1,52,5
M16069J,1,-1,-1,-1,-1,53,5
M14500U,1,-1,-1,-1,-1,49,4
M14500U,2,-1,-1,-1,-1,52,5
M22748P,2,-1,-1,-1,-1,48,4
M13627E,1,-1,-1,-1,-1,45,4
M15027U,1,-1,-1,-1,-1,52,5
M16309F,2,-1,-1,-1,-1,43,4
M16309F,1,-1,-1,-1,-1,38,3
M14739R,2,-1,-1,-1,-1,48,4
M14739R,1,-1,-1,-1,-1,34,3
M12430P,1,-1,-1,-1,-1,52,5
M31114L,2,-1,-1,-1,-1,56,5
M31114L,1,-1,-1,-1,-1,41,4
M21782M,4,1,-1,-1,-1,48,4
M21782M,1,-1,-1,-1,-1,46,4
M18513R,1,-1,-1,-1,-1,51,5
M18513R,2,-1,-1,-1,-1,53,5
M25137E,1,-1,-1,-1,-1,45,4
M31177B,2,-1,-1,-1,-1,62,5
M31177B,1,-1,-1,-1,-1,50,5
M20148M,1,-1,-1,-1,-1,48,4
M20148M,7,1,-1,-1,-1,48,4
M20987U,1,-1,-1,-1,-1,47,4
M22554F,2,-1,-1,-1,-1,44,4
M20592D,1,-1,-1,-1,-1,48,4
M20592D,2,-1,-1,-1,-1,46,4
M34981K,1,-1,-1,-1,-1,51,5
M34981K,2,-1,-1,-1,-1,49,4
M32569T,1,-1,-1,-1,-1,44,4
M12422P,2,-1,-1,-1,-1,43,4
M21372X,2,-1,-1,-1,-1,42,4
M21372X,1,-1,-1,-1,-1,45,4
M23479R,1,-1,-1,-1,-1,51,5
M10125Z,3,-1,-1,-1,-1,40,4
M10125Z,1,-1,-1,-1,-1,48,4
M14607E,1,-1,-1,-1,-1,44,4
M14607E,2,-1,-1,-1,-1,48,4
M22987C,5,1,-1,-1,-1,42,4
M22987C,1,-1,-1,-1,-1,41,4
M32896F,1,-1,-1,-1,-1,52,5
M32896F,2,-1,-1,-1,-1,48,4
M31633E,1,-1,-1,-1,-1,57,5
M31633E,2,-1,-1,-1,-1,56,5
M21702V,2,-1,-1,-1,-1,53,5
M22034L,2,-1,-1,-1,-1,55,5
M22034L,1,-1,-1,-1,-1,53,5
M16700J,1,-1,-1,-1,-1,51,5
M16700J,2,-1,-1,-1,-1,50,5
M34912W,2,-1,-1,-1,-1,63,5
M34912W,1,-1,-1,-1,-1,59,5
M21234N,1,-1,-1,-1,-1,33,3
M25413F,1,-1,-1,-1,-1,46,4
M12670D,2,-1,-1,-1,-1,51,5
M33318E,1,-1,-1,-1,-1,45,4
M33318E,2,-1,-1,-1,-1,46,4
M25415H,2,-1,-1,-1,-1,51,5
M25415H,1,-1,-1,-1,-1,47,4
M33401Y,2,-1,-1,-1,-1,50,5
M33401Y,1,-1,-1,-1,-1,48,4
M19310L,1,-1,-1,-1,-1,49,4
M19310L,2,-1,-1,-1,-1,49,4
M35187V,1,-1,-1,-1,-1,49,4
M35187V,2,-1,-1,-1,-1,55,5
M16629U,2,-1,-1,-1,-1,57,5
M16629U,1,-1,-1,-1,-1,47,4
M31377H,1,-1,-1,-1,-1,45,4
M31377H,2,-1,-1,-1,-1,49,4
M12006B,1,-1,-1,-1,-1,53,5
M12006B,2,-1,-1,-1,-1,57,5
M30982U,1,-1,-1,-1,-1,44,4
M30982U,4,1,-1,-1,-1,49,4
M23371E,2,-1,-1,-1,-1,49,4
M23371E,1,-1,-1,-1,-1,55,5
M29618J,1,-1,-1,-1,-1,47,4
M29618J,2,-1,-1,-1,-1,46,4
M27610S,1,-1,-1,-1,-1,46,4
M27610S,2,-1,-1,-1,-1,43,4
M11647A,1,-1,-1,-1,-1,47,4
M11647A,2,-1,-1,-1,-1,51,5
M12522S,2,-1,-1,-1,-1,47,4
M20544V,1,-1,-1,-1,-1,36,3
M18123F,1,-1,-1,-1,-1,48,4
M18123F,2,-1,-1,-1,-1,61,5
M33397V,1,-1,-1,-1,-1,53,5
M33397V,2,-1,-1,-1,-1,56,5
M26498G,2,-1,-1,-1,-1,54,5
M26498G,1,-1,-1,-1,-1,53,5
M11131B,1,-1,-1,-1,-1,56,5
M11131B,2,-1,-1,-1,-1,61,5
M24090C,2,-1,-1,-1,-1,50,5
M24090C,1,-1,-1,-1,-1,50,5
M10021S,1,-1,-1,-1,-1,51,5
M24603F,4,1,-1,-1,-1,52,5
M24603F,1,-1,-1,-1,-1,50,5
M19651E,2,-1,-1,-1,-1,45,4
M22489P,1,-1,-1,-1,-1,51,5
M14744N,2,-1,-1,-1,-1,45,4
M14744N,1,-1,-1,-1,-1,48,4
M24801K,1,-1,-1,-1,-1,45,4
M13928Q,1,-1,-1,-1,-1,51,5
M11115B,1,-1,-1,-1,-1,52,5
M17159P,1,-1,-1,-1,-1,43,4
M17159P,2,-1,-1,-1,-1,44,4
M20185S,2,-1,-1,-1,-1,60,5
M20185S,1,-1,-1,-1,-1,53,5
M30632Z,1,-1,-1,-1,-1,46,4
M30632Z,2,-1,-1,-1,-1,46,4
M17512L,1,-1,-1,-1,-1,52,5
M17512L,2,-1,-1,-1,-1,51,5
M34330E,1,-1,-1,-1,-1,50,5
M34634T,1,-1,-1,-1,-1,51,5
M34634T,2,-1,-1,-1,-1,55,5
M25179Q,1,-1,-1,-1,-1,42,4
M25179Q,2,-1,-1,-1,-1,45,4
M30038M,2,-1,-1,-1,-1,46,4
M30038M,1,-1,-1,-1,-1,47,4
M28669R,2,-1,-1,-1,-1,53,5
M28669R,1,-1,-1,-1,-1,48,4
M18090P,2,-1,-1,-1,-1,46,4
M18090P,1,-1,-1,-1,-1,52,5
M14768W,1,-1,-1,-1,-1,47,4
M14768W,2,-1,-1,-1,-1,54,5
M22612Y,2,-1,-1,-1,-1,54,5
M22612Y,1,-1,-1,-1,-1,52,5
M11913Z,1,-1,-1,-1,-1,50,5
M11913Z,2,-1,-1,-1,-1,53,5
M25054C,1,-1,-1,-1,-1,53,5
M35589K,1,-1,-1,-1,-1,46,4
M35589K,2,-1,-1,-1,-1,48,4
M14405W,1,-1,-1,-1,-1,47,4
M14405W,2,-1,-1,-1,-1,49,4
M33162C,2,-1,-1,-1,-1,53,5
M33162C,1,-1,-1,-1,-1,53,5
M26473X,4,-1,-1,-1,-1,49,4
M13801A,2,-1,-1,-1,-1,51,5
M13801A,1,-1,-1,-1,-1,51,5
M19323R,5,-1,-1,-1,-1,39,3
M34709V,1,-1,-1,-1,-1,51,5
M10481S,2,-1,-1,-1,-1,57,5
M10481S,1,-1,-1,-1,-1,50,5
M29572M,1,-1,-1,-1,-1,48,4
M29572M,2,-1,-1,-1,-1,52,5
M23745Q,2,-1,-1,-1,-1,59,5
M23745Q,1,-1,-1,-1,-1,51,5
M13734G,1,-1,-1,-1,-1,46,4
M13734G,2,-1,-1,-1,-1,46,4
M15614H,1,-1,-1,-1,-1,49,4
M15614H,2,-1,-1,-1,-1,51,5
M14466K,1,-1,-1,-1,-1,45,4
M14466K,2,-1,-1,-1,-1,48,4
M11252K,1,-1,-1,-1,-1,45,4
M11252K,2,-1,-1,-1,-1,46,4
M15564Q,1,-1,-1,-1,-1,51,5
M15564Q,2,-1,-1,-1,-1,51,5
M13479L,1,-1,-1,-1,-1,48,4
M13479L,4,-1,-1,-1,-1,72,5
M11309K,1,-1,-1,-1,-1,44,4
M11309K,2,-1,-1,-1,-1,43,4
M22372B,1,-1,-1,-1,-1,49,4
M22372B,4,-1,-1,-1,-1,56,5
M11226H,1,-1,-1,-1,-1,45,4
M11226H,2,-1,-1,-1,-1,50,5
M23205R,2,-1,-1,-1,-1,-3,-3
M23205R,1,-1,-1,-1,-1,-3,-3
M23657R,2,-1,-1,-1,-1,38,3
M23657R,1,-1,-1,-1,-1,39,3
M15629Q,7,1,-1,-1,-1,49,4
M17017A,1,-1,-1,-1,-1,51,5
M18965R,2,-1,-1,-1,-1,49,4
M18965R,1,-1,-1,-1,-1,47,4
M30711X,1,-1,-1,-1,-1,53,5
M30711X,2,-1,-1,-1,-1,54,5
M27992V,2,-1,-1,-1,-1,48,4
M27992V,1,-1,-1,-1,-1,48,4
M18058P,2,-1,-1,-1,-1,55,5
M26674E,5,-1,-1,-1,-1,41,4
M27696Q,2,-1,-1,-1,-1,50,5
M27696Q,1,-1,-1,-1,-1,51,5
M13118N,2,-1,-1,-1,-1,48,4
M13118N,1,-1,-1,-1,-1,48,4
M27413P,1,-1,-1,-1,-1,44,4
M34982L,2,-1,-1,-1,-1,55,5
M24852W,2,-1,-1,-1,-1,46,4
M24852W,1,-1,-1,-1,-1,48,4
M23088E,2,-1,-1,-1,-1,46,4
M23088E,1,-1,-1,-1,-1,50,5
